DateTime,星敏2头部1四元数qsi0,星敏2头部1四元数qsi1,星敏2头部1四元数qsi2,星敏2头部1四元数qsi3,星敏2头部2四元数qsi0,星敏2头部2四元数qsi1,星敏2头部2四元数qsi2,星敏2头部2四元数qsi3,滚动角,滚动角速度,偏航角,偏航角速度,俯仰角,俯仰角速度
2021-06-25 12:00:19,0.97213,-0.12103,0.18552,-0.07675,0.94533,-0.14746,-0.29056,-0.01342,-0.0003,0.0005,0.0001,5e-05,-0.0001,0.0
2021-06-25 12:00:27,0.97213,-0.12103,0.18552,-0.07674,0.94533,-0.14745,-0.29056,-0.01343,-0.0003,0.0005,0.0001,5e-05,-0.0001,0.0
2021-06-25 12:00:35,0.97213,-0.12104,0.18552,-0.07677,0.94533,-0.14746,-0.29056,-0.0134,-0.0003,0.0005,0.0001,5e-05,-0.0001,0.0
2021-06-25 12:00:43,0.97213,-0.12103,0.18552,-0.07674,0.94533,-0.14746,-0.29056,-0.01341,-0.0003,0.0005,0.0001,5e-05,-0.0001,0.0
2021-06-25 12:00:51,0.97213,-0.12103,0.18552,-0.07675,0.94533,-0.14745,-0.29056,-0.01341,-0.0003,0.0005,0.0001,5e-05,-0.0001,0.0
2021-06-25 12:00:59,0.97213,-0.12103,0.18552,-0.07674,0.94533,-0.14745,-0.29056,-0.01342,-0.0003,0.0005,0.0001,5e-05,-0.0001,0.0
2021-06-25 12:01:07,0.97213,-0.12103,0.18552,-0.07674,0.94533,-0.14746,-0.29056,-0.0134,-0.0003,0.0005,0.0001,5e-05,-0.0001,0.0
2021-06-25 12:01:15,0.97213,-0.12103,0.18552,-0.07675,0.94533,-0.14746,-0.29056,-0.0134,-0.0003,0.0005,0.0001,5e-05,-0.0001,0.0
2021-06-25 12:01:23,0.97213,-0.12103,0.18552,-0.07674,0.94533,-0.14745,-0.29056,-0.01343,-0.0003,0.0005,0.0001,5e-05,-0.0001,0.0
2021-06-25 12:01:31,0.97213,-0.12103,0.18552,-0.07674,0.94533,-0.14745,-0.29056,-0.01344,-0.0003,0.0005,0.0001,5e-05,-0.0001,0.0
2021-06-25 12:01:39,0.97213,-0.12103,0.18552,-0.07675,0.94533,-0.14745,-0.29056,-0.01341,-0.0003,0.0005,0.0001,5e-05,-0.0001,0.0
2021-06-25 12:01:47,0.97213,-0.12103,0.18552,-0.07674,0.94533,-0.14745,-0.29056,-0.01341,-0.0003,0.0005,0.0001,5e-05,-0.0001,0.0
2021-06-25 12:01:55,0.97213,-0.12104,0.18552,-0.07674,0.94533,-0.14745,-0.29056,-0.0134,-0.0003,0.0005,0.0001,5e-05,-0.0001,0.0
2021-06-25 12:02:03,0.97213,-0.12104,0.18552,-0.07675,0.94533,-0.14745,-0.29056,-0.01341,-0.0003,0.0005,0.0001,5e-05,-0.0001,0.0
2021-06-25 12:02:11,0.97213,-0.12104,0.18552,-0.07674,0.94533,-0.14745,-0.29056,-0.01339,-0.0003,0.0005,0.0001,5e-05,-0.0001,0.0
2021-06-25 12:02:19,0.97213,-0.12104,0.18552,-0.07675,0.94533,-0.14745,-0.29056,-0.01339,-0.0003,0.0005,0.0001,5e-05,-0.0001,0.0
2021-06-25 12:02:27,0.97213,-0.12104,0.18552,-0.07674,0.94533,-0.14745,-0.29057,-0.0134,-0.0003,0.0005,0.0001,5e-05,-0.0001,0.0
2021-06-25 12:02:35,0.97213,-0.12104,0.18552,-0.07675,0.94533,-0.14745,-0.29057,-0.0134,-0.0003,0.0005,0.0001,5e-05,-0.0001,0.0
2021-06-25 12:02:43,0.97213,-0.12104,0.18552,-0.07674,0.94533,-0.14745,-0.29056,-0.0134,-0.0003,0.0005,0.0001,5e-05,-0.0001,0.0
