DateTime,星敏2头部1四元数qsi0,星敏2头部1四元数qsi1,星敏2头部1四元数qsi2,星敏2头部1四元数qsi3,星敏2头部2四元数qsi0,星敏2头部2四元数qsi1,星敏2头部2四元数qsi2,星敏2头部2四元数qsi3,滚动角,滚动角速度,偏航角,偏航角速度,俯仰角,俯仰角速度
2021-06-25 11:54:39,0.97213,-0.12096,0.18557,-0.07673,0.94535,-0.1474,-0.29052,-0.01343,-0.0003,0.0005,0.0001,0.00005,-0.0001,0
2021-06-25 11:54:41,0.97213,-0.12096,0.18557,-0.07673,0.94535,-0.14741,-0.29052,-0.01343,-0.0003,0.0005,0.0001,0.00005,-0.0001,0
2021-06-25 11:54:43,0.97213,-0.12096,0.18557,-0.07674,0.94535,-0.1474,-0.29052,-0.01345,-0.0003,0.0005,0.0001,0.00005,-0.0001,0
2021-06-25 11:54:45,0.97213,-0.12097,0.18557,-0.07674,0.94535,-0.14741,-0.29052,-0.01343,-0.0003,0.0005,0.0001,0.00005,-0.0001,0
2021-06-25 11:54:47,0.97213,-0.12096,0.18557,-0.07674,0.94535,-0.1474,-0.29052,-0.01344,-0.0003,0.0005,0.0001,0.00005,-0.0001,0
2021-06-25 11:54:49,0.97213,-0.12096,0.18557,-0.07674,0.94535,-0.1474,-0.29052,-0.01344,-0.0003,0.0005,0.0001,0.00005,-0.0001,0
2021-06-25 11:54:51,0.97213,-0.12096,0.18557,-0.07674,0.94535,-0.1474,-0.29052,-0.01344,-0.0003,0.0005,0.0001,0.00005,-0.0001,0
2021-06-25 11:54:53,0.97213,-0.12096,0.18557,-0.07674,0.94535,-0.1474,-0.29052,-0.01343,-0.0003,0.0005,0.0001,0.00005,-0.0001,0
2021-06-25 11:54:55,0.97213,-0.12097,0.18557,-0.07675,0.94535,-0.1474,-0.29052,-0.01344,-0.0003,0.0005,0.0001,0.00005,-0.0001,0
2021-06-25 11:54:57,0.97213,-0.12097,0.18557,-0.07676,0.94535,-0.1474,-0.29052,-0.01345,-0.0003,0.0005,0.0001,0.00005,-0.0001,0
