DateTime,A1推力器电磁阀温度,A2推力器电磁阀温度,A3推力器电磁阀温度,A4推力器电磁阀温度,A5推力器电磁阀温度,A6推力器电磁阀温度,A7推力器电磁阀温度,A8推力器电磁阀温度,A1推力器头部温度,A2推力器头部温度,A3推力器头部温度,A4推力器头部温度,A5推力器头部温度,A6推力器头部温度,A7推力器头部温度,A8推力器头部温度,控制力矩陀螺1测温点,控制力矩陀螺2测温点,控制力矩陀螺3测温点,控制力矩陀螺4测温点,控制力矩陀螺5测温点,控制力矩陀螺6测温点,北斗短报文发射设备温度,北斗短报文接收设备温度,导航接收机A温度,导航接收机B温度,中继收发设备温度,星间通信接收机温度,图像数据路由器壁温,数传调制器1A壁温_R1,数传调制器1B壁温_R1,数传调制器2A壁温_R1,数传调制器2B壁温_R1,数传终端机温度,数传双工器1温度,数传双工器2温度,天线1X轴驱动组件温度1,天线1X轴驱动组件温度2,天线1X轴旋转关节温度1,天线1X轴旋转关节温度2,天线1Y轴驱动组件温度1,天线1Y轴驱动组件温度2,天线1Y轴旋转关节温度1,天线1Y轴旋转关节温度2,天线1压紧释放装置1温度,天线1压紧释放装置2温度,天线2X轴驱动组件温度1,天线2X轴驱动组件温度2,天线2X轴旋转关节温度1,天线2X轴旋转关节温度2,天线2Y轴驱动组件温度1,天线2Y轴驱动组件温度2,天线2Y轴旋转关节温度1,天线2Y轴旋转关节温度2,天线2压紧释放装置1温度,SMA中继相控阵T组件温度1,SMA中继相控阵T组件温度2,SMA中继相控阵电源温度1,SMA中继相控阵电源温度2
2021-06-26 12:41:36,21.61149,18.02852,23.88408,25.26584,17.08275,18.7375,18.7797,15.31437,55.25565,46.40523,56.88352,43.95473,48.19139,49.58272,51.2588,51.52837,1.82566,3.3741,1.82566,1.20323,3.68282,-0.99556,2.44617,1.82566,2.75582,-1.31288,9.862,-0.36357,8.61833,8.92855,9.23921,9.23921,9.23921,1.5147,-12.32071,-12.32071,-15.1598,-14.74389,-8.99319,-9.35336,-15.1598,-15.58081,-16.00714,-15.58081,-25.56624,15.02669,-11.95852,-11.95852,-10.82283,-11.5765,-14.33287,-14.33287,-15.58081,-16.00714,-23.25129,-17.25407,-17.70001,-17.25407,-18.15253
2021-06-26 12:42:59,21.61149,18.02852,23.88408,24.60321,17.08275,18.7375,18.7797,15.31437,55.81307,46.40523,56.88352,43.95473,48.19139,49.58272,51.2588,51.52837,1.82566,3.3741,1.82566,1.20323,3.68282,-0.99556,2.44617,1.82566,2.75582,-1.31288,9.862,-0.36357,8.92855,8.92855,9.55034,9.55034,9.23921,1.5147,-12.32071,-12.32071,-13.92652,-13.1271,-12.73367,-13.1271,-14.74389,-15.58081,-12.3442,-11.95852,-25.56624,15.68119,-13.52466,-13.1271,-13.1271,-13.52466,-14.74389,-14.33287,-11.5765,-11.5765,-23.25129,-17.25407,-17.25407,-17.25407,-17.70001
2021-06-26 12:45:08,21.61149,18.02852,23.88408,23.93526,17.08275,18.7375,18.7797,15.31437,55.81307,46.40523,56.88352,43.95473,48.19139,49.58272,51.2588,51.52837,1.82566,3.3741,1.82566,1.20323,3.68282,-0.99556,2.44617,1.82566,2.75582,-1.31288,9.862,-0.36357,8.92855,9.23921,9.55034,9.55034,9.55034,1.5147,-12.32071,-12.32071,-11.95852,-10.82283,-15.58081,-15.58081,-12.3442,-12.73367,-9.35336,-8.99319,-25.56624,17.34135,-14.74389,-14.33287,-14.74389,-15.58081,-12.73367,-12.3442,-10.45092,-10.82283,-23.80998,-16.8144,-17.25407,-17.25407,-17.70001
2021-06-26 12:47:16,21.61149,17.26832,23.88408,23.93526,17.08275,18.7375,18.7797,15.31437,55.81307,46.40523,56.31476,43.95473,48.19139,49.58272,51.2588,51.52837,1.82566,3.3741,1.82566,1.20323,3.68282,-0.99556,2.75582,1.82566,2.75582,-1.31288,9.862,-0.36357,9.23921,9.23921,9.862,9.862,9.862,1.5147,-12.32071,-12.32071,-10.82283,-9.7163,-9.7163,-9.7163,-10.82283,-11.5765,-14.33287,-14.74389,-25.56624,18.69753,-14.33287,-14.33287,-9.35336,-9.7163,-11.19798,-10.82283,-15.1598,-15.58081,-23.80998,-16.8144,-16.8144,-16.8144,-17.25407
2021-06-26 12:49:24,21.61149,17.26832,23.88408,23.26179,17.08275,18.7375,18.7797,15.31437,55.81307,46.40523,56.31476,43.95473,48.19139,49.58272,51.81619,52.09508,1.82566,3.3741,1.82566,1.20323,3.68282,-0.99556,2.75582,1.82566,2.75582,-0.99556,9.862,-0.36357,9.23921,9.55034,10.17421,9.862,9.862,1.5147,-12.32071,-12.32071,-9.7163,-8.63567,-13.92652,-13.92652,-9.7163,-10.45092,-14.33287,-13.92652,-24.96658,19.73341,-11.95852,-11.5765,-13.1271,-13.52466,-10.08211,-9.7163,-10.45092,-10.45092,-23.80998,-16.38071,-16.38071,-16.8144,-17.25407
2021-06-26 12:51:32,21.61149,17.26832,23.88408,22.58255,17.08275,18.7375,18.7797,15.31437,55.81307,46.40523,56.31476,44.53879,48.19139,50.14233,51.81619,52.09508,1.82566,3.3741,1.82566,1.20323,3.68282,-0.99556,2.75582,1.82566,2.75582,-0.99556,9.862,-0.36357,9.23921,9.55034,10.17421,10.17421,10.17421,1.5147,-12.32071,-12.32071,-11.95852,-11.19798,-16.00714,-16.00714,-13.1271,-13.52466,-9.7163,-9.7163,-24.96658,20.78718,-10.08211,-10.08211,-15.1598,-15.58081,-10.82283,-10.82283,-11.5765,-11.95852,-23.80998,-16.38071,-16.38071,-16.38071,-16.8144
2021-06-26 12:53:40,21.61149,17.26832,23.88408,22.58255,17.08275,18.7375,18.7797,16.05616,55.81307,46.40523,56.31476,44.53879,48.19139,50.14233,51.81619,52.09508,1.82566,3.3741,1.82566,1.20323,3.68282,-0.99556,2.75582,2.13613,3.06511,-0.99556,9.862,-0.36357,9.23921,9.862,10.48702,10.48702,10.17421,1.5147,-12.7071,-12.32071,-13.52466,-13.1271,-9.7163,-9.7163,-15.1598,-15.58081,-12.73367,-13.1271,-24.96658,21.86067,-10.45092,-10.82283,-9.35336,-9.7163,-13.1271,-13.1271,-15.1598,-15.58081,-24.38147,-15.95273,-15.95273,-16.38071,-16.38071
2021-06-26 12:55:06,21.61149,17.26832,23.88408,21.8973,17.08275,18.7375,18.7797,16.05616,55.81307,46.97362,56.31476,45.12136,48.19139,50.14233,51.81619,52.66178,1.82566,3.3741,1.82566,1.20323,3.68282,-0.99556,2.75582,2.13613,3.06511,-0.99556,9.862,-0.36357,9.23921,9.862,10.48702,10.48702,10.48702,1.5147,-12.7071,-12.32071,-14.74389,-13.92652,-13.52466,-13.92652,-14.33287,-15.1598,-16.00714,-16.43905,-24.96658,22.22321,-12.3442,-12.3442,-13.1271,-13.52466,-14.33287,-14.33287,-10.82283,-11.19798,-24.38147,-15.95273,-15.95273,-16.38071,-16.38071
2021-06-26 12:55:38,21.61149,17.26832,23.88408,21.8973,17.08275,18.7375,18.7797,16.05616,55.81307,46.97362,56.31476,45.12136,48.75276,50.14233,51.81619,52.66178,1.82566,3.3741,1.82566,1.20323,3.68282,-0.99556,2.75582,2.13613,3.06511,-0.99556,9.862,-0.36357,9.23921,9.862,10.48702,10.48702,10.48702,1.5147,-12.7071,-12.32071,-15.1598,-14.33287,-14.74389,-14.74389,-13.52466,-14.33287,-16.43905,-16.43905,-24.96658,22.58823,-12.73367,-12.73367,-13.92652,-14.33287,-14.74389,-14.74389,-10.08211,-10.08211,-24.38147,-15.53021,-15.95273,-16.38071,-16.38071
2021-06-26 12:56:10,21.61149,17.26832,23.88408,21.8973,17.08275,18.7375,18.7797,16.05616,55.81307,46.97362,56.31476,45.12136,48.75276,50.14233,51.81619,52.66178,1.82566,3.3741,1.82566,1.20323,3.68282,-0.99556,2.75582,2.13613,3.06511,-0.67914,9.862,-0.36357,9.23921,9.862,10.48702,10.48702,10.48702,1.5147,-12.7071,-12.32071,-15.1598,-14.33287,-15.1598,-15.1598,-13.1271,-13.52466,-14.74389,-14.33287,-24.96658,22.58823,-13.1271,-13.1271,-14.74389,-14.74389,-15.1598,-15.1598,-8.99319,-9.35336,-24.38147,-15.53021,-15.95273,-16.38071,-16.38071
